Trading Pair,Price,Market Cap,24h Volume,Cap Size,Total Profit (%),Absolute Profit ($),Market Change (%),Total Trades,Wins,Losses,Draws,Win Rate (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Profit Factor,Expectancy ($),CAGR (%),Avg Hold Time,Final Balance
VOXEL/USDT,0.073205,$17.83M,$30.98M,Micro-Cap,152.85,1528.527,-72.87,45,38,7,0,84.44,3.85,4.295,9.431,423.251,8.326,33.967,562.96,2:32:00,2528.527
KAITO/USDT,1.18,$284.74M,$25.02M,Small-Cap,94.31,943.076,81.18,35,31,4,0,88.57,1.73,6.769,22.848,805.852,20.236,26.945,555.04,0:57:00,1943.076
ACH/USDT,0.0200814,$99.07M,$26.25M,Micro-Cap,70.19,701.855,-25.73,26,23,3,0,88.46,2.43,3.294,5.023,308.227,16.719,26.994,195.72,0:40:00,1701.855
MAGIC/USDT,0.210629,$66.27M,$23.55M,Micro-Cap,69.31,693.066,-68.85,27,25,2,0,92.59,2.83,2.645,6.182,261.263,11.174,25.669,192.61,0:46:00,1693.066
FUN/USDT,0.00946788,$100.35M,$7.88M,Small-Cap,49.78,497.794,109.96,55,46,9,0,83.64,41.93,0.636,0.33,12.671,1.534,9.051,127.91,4:26:00,1497.794
OG/USDT,16.49,$70.94M,$25.57M,Micro-Cap,39.61,396.139,-15.49,16,14,2,0,87.5,1.07,1.766,121.605,394.99,17.331,24.759,97.48,1:06:00,1396.139
FIDA/USDT,0.094543,$93.71M,$13.81M,Micro-Cap,36.99,369.865,-72.17,15,15,0,0,100.0,0.0,2.871,-100.0,-100.0,0.0,24.658,89.98,0:29:00,1369.865
RED/USDT,0.620907,$173.83M,$46.53M,Small-Cap,36.6,366.007,-23.23,27,24,3,0,88.89,24.92,0.544,0.399,23.188,1.604,13.556,156.21,1:35:00,1366.007
FORM/USDT,2.27,$866.26M,$69.40M,Small-Cap,34.45,344.455,62.66,6,5,1,0,83.33,0.46,0.847,-100.0,1395.286,57.419,57.409,188.4,0:46:00,1344.455
REZ/USDT,0.01200326,$31.58M,$7.17M,Micro-Cap,34.19,341.896,-74.61,39,31,8,0,79.49,24.89,0.513,0.299,14.664,1.586,8.767,82.15,3:26:00,1341.896
PIXEL/USDT,0.03350643,$25.83M,$13.49M,Micro-Cap,33.13,331.341,-78.14,14,11,3,0,78.57,2.73,1.233,2.976,129.469,6.254,23.667,79.24,1:04:00,1331.341
THE/USDT,0.347924,$39.91M,$9.75M,Micro-Cap,32.33,323.337,-83.88,18,16,2,0,88.89,2.85,1.807,2.279,120.924,11.384,17.963,77.05,3:46:00,1323.337
D/USDT,0.0358394,$23.07M,$10.15M,Micro-Cap,32.23,322.318,-82.43,17,16,1,0,94.12,2.92,1.987,-100.0,123.461,9.113,18.96,81.55,3:49:00,1322.318
RAY/USDT,3.43,$919.42M,$84.49M,Small-Cap,30.35,303.464,-55.59,16,15,1,0,93.75,1.06,1.927,-100.0,304.888,24.434,18.966,71.67,0:33:00,1303.464
API3/USDT,0.98048,$126.63M,$37.36M,Small-Cap,27.47,274.75,-59.49,22,16,6,0,72.73,4.56,1.105,4.506,64.377,2.932,12.489,64.05,2:22:00,1274.75
BABY/USDT,0.050683,$133.13M,$16.77M,Small-Cap,26.62,266.229,-53.86,14,13,1,0,92.86,2.88,3.165,-100.0,220.459,8.147,19.016,193.57,1:13:00,1266.229
TURBO/USDT,0.00423346,$291.82M,$26.24M,Small-Cap,26.49,264.911,-58.59,23,17,6,0,73.91,4.07,1.287,2.347,69.513,3.745,11.518,61.48,1:01:00,1264.911
INIT/USDT,0.366955,$60.64M,$19.80M,Micro-Cap,24.85,248.506,-27.48,15,12,3,0,80.0,2.85,2.779,9.555,252.254,4.785,16.567,241.25,0:50:00,1248.506
CAKE/USDT,2.55,$879.91M,$45.51M,Small-Cap,23.96,239.592,-9.14,12,11,1,0,91.67,2.77,0.795,-100.0,92.235,9.038,19.966,54.95,6:36:00,1239.592
LISTA/USDT,0.260616,$56.62M,$9.05M,Micro-Cap,23.16,231.626,-43.72,19,14,5,0,73.68,2.94,1.027,2.158,84.031,3.432,12.191,52.93,2:32:00,1231.626
MDT/USDT,0.02600155,$15.78M,$6.11M,Micro-Cap,21.28,212.802,-75.7,14,12,2,0,85.71,2.31,1.21,8.085,98.443,6.064,15.2,48.2,1:00:00,1212.802
MUBARAK/USDT,0.03191473,$31.88M,$11.38M,Micro-Cap,17.84,178.39,-68.72,38,30,8,0,78.95,24.9,0.823,0.452,14.561,1.59,4.694,89.15,1:43:00,1178.39
MEME/USDT,0.00263279,$145.16M,$34.94M,Small-Cap,17.42,174.185,-84.61,8,7,1,0,87.5,1.19,0.876,-100.0,156.265,13.79,21.773,38.74,3:22:00,1174.185
AI/USDT,0.143537,$18.68M,$17.65M,Micro-Cap,17.1,171.013,-79.28,8,7,1,0,87.5,1.86,0.84,-100.0,98.057,9.124,21.377,37.98,0:47:00,1171.013
EPIC/USDT,2.16,$64.77M,$23.08M,Micro-Cap,16.95,169.485,-45.85,6,4,2,0,66.67,2.12,0.521,56.928,141.421,6.378,28.247,69.74,21:27:00,1169.485
XAI/USDT,0.053914,$69.13M,$17.50M,Micro-Cap,16.34,163.401,-76.07,12,10,2,0,83.33,2.51,0.882,2.345,69.602,4.762,13.617,36.15,0:43:00,1163.401
BANANA/USDT,22.81,$91.65M,$25.80M,Micro-Cap,15.24,152.424,-53.0,14,10,4,0,71.43,4.31,0.67,1.565,37.722,2.829,10.887,33.55,2:59:00,1152.424
ENA/USDT,0.750049,$5.17B,$377.34M,Mid-Cap,15.14,151.429,-69.67,7,7,0,0,100.0,0.0,1.795,-100.0,-100.0,0.0,21.633,33.31,0:21:00,1151.429
BNSOL/USDT,259.89,$2.93B,$9.84M,Mid-Cap,14.37,143.651,-16.96,8,8,0,0,100.0,0.0,1.18,-100.0,-100.0,0.0,17.956,31.48,0:26:00,1143.651
SOL/USDT,241.91,$131.22B,$9.36B,Large-Cap,13.66,136.632,-19.79,8,8,0,0,100.0,0.0,1.376,-100.0,-100.0,0.0,17.079,29.84,0:28:00,1136.632
VANA/USDT,4.35,$133.80M,$9.92M,Small-Cap,13.1,130.996,-70.63,18,11,7,0,61.11,5.04,0.554,1.626,27.753,1.893,7.278,28.53,2:54:00,1130.996
CHESS/USDT,0.079812,$16.38M,$11.29M,Micro-Cap,12.55,125.464,-59.82,8,7,1,0,87.5,2.69,0.727,-100.0,49.812,5.523,15.683,27.25,2:09:00,1125.464
ZEN/USDT,7.57,$131.06M,$13.20M,Small-Cap,12.44,124.41,-72.83,5,5,0,0,100.0,0.0,1.139,-100.0,-100.0,0.0,24.882,27.01,0:44:00,1124.41
W/USDT,0.090695,$431.94M,$40.16M,Small-Cap,11.89,118.857,-72.68,5,5,0,0,100.0,0.0,1.094,-100.0,-100.0,0.0,23.771,25.74,0:34:00,1118.857
SAGA/USDT,0.260951,$76.85M,$12.68M,Micro-Cap,11.46,114.638,-83.79,6,6,0,0,100.0,0.0,1.15,-100.0,-100.0,0.0,19.106,24.77,0:28:00,1114.638
YGG/USDT,0.226285,$134.96M,$177.56M,Small-Cap,11.2,111.985,-68.28,4,4,0,0,100.0,0.0,0.868,-100.0,-100.0,0.0,27.996,24.17,0:22:00,1111.985
RSR/USDT,0.00773587,$462.75M,$20.69M,Small-Cap,11.09,110.903,-46.97,5,5,0,0,100.0,0.0,0.997,-100.0,-100.0,0.0,22.181,23.92,0:23:00,1110.903
EIGEN/USDT,1.64,$541.32M,$143.82M,Small-Cap,10.79,107.902,-66.51,11,9,2,0,81.82,2.8,0.534,3.278,41.121,2.945,9.809,23.24,1:06:00,1107.902
DYDX/USDT,0.642673,$502.98M,$9.40M,Small-Cap,9.67,96.656,-62.64,3,3,0,0,100.0,0.0,3.15,-100.0,-100.0,0.0,32.219,20.7,0:15:00,1096.656
KDA/USDT,0.393189,$130.19M,$5.92M,Small-Cap,9.62,96.154,-56.02,4,4,0,0,100.0,0.0,1.312,-100.0,-100.0,0.0,24.038,20.59,0:20:00,1096.154
ONE/USDT,0.01100671,$162.00M,$9.00M,Small-Cap,9.19,91.868,-60.36,4,4,0,0,100.0,0.0,0.705,-100.0,-100.0,0.0,22.967,19.63,0:04:00,1091.868
USUAL/USDT,0.067151,$70.43M,$18.90M,Micro-Cap,9.0,89.959,-92.4,19,11,8,0,57.89,7.98,0.4,0.966,12.031,1.56,4.735,19.2,3:50:00,1089.959
HUMA/USDT,0.0268207,$46.55M,$21.40M,Micro-Cap,8.97,89.689,-46.58,3,3,0,0,100.0,0.0,6.001,-100.0,-100.0,0.0,29.896,151.45,0:25:00,1089.689
MBOX/USDT,0.06897,$34.54M,$28.17M,Micro-Cap,8.76,87.562,-73.35,12,9,3,0,75.0,2.85,0.567,0.826,32.804,2.685,7.297,18.67,1:09:00,1087.562
CYBER/USDT,1.83,$89.27M,$56.09M,Micro-Cap,8.74,87.432,-60.69,3,3,0,0,100.0,0.0,1.168,-100.0,-100.0,0.0,29.144,18.64,0:20:00,1087.432
ETHFI/USDT,1.48,$692.19M,$136.05M,Small-Cap,8.65,86.543,-51.98,13,10,3,0,76.92,3.4,0.5,0.871,27.207,2.402,6.657,18.44,1:37:00,1086.543
BOME/USDT,0.00213725,$147.38M,$34.18M,Small-Cap,8.19,81.921,-74.67,12,10,2,0,83.33,2.96,0.681,0.62,29.507,3.648,6.827,17.42,3:01:00,1081.921
MANTA/USDT,0.217306,$97.32M,$11.03M,Micro-Cap,8.11,81.117,-75.9,3,3,0,0,100.0,0.0,0.662,-100.0,-100.0,0.0,27.039,17.24,0:18:00,1081.117
HAEDAL/USDT,0.151435,$29.53M,$20.83M,Micro-Cap,7.93,79.271,-28.0,7,5,2,0,71.43,2.92,1.444,9.405,133.129,2.401,11.324,104.21,0:50:00,1079.271
SYN/USDT,0.130067,$28.49M,$10.44M,Micro-Cap,7.84,78.428,-84.31,10,7,3,0,70.0,2.7,0.422,0.843,30.967,3.592,7.843,16.64,1:11:00,1078.428
LRC/USDT,0.09581,$119.25M,$14.17M,Small-Cap,7.39,73.917,-59.06,4,4,0,0,100.0,0.0,1.758,-100.0,-100.0,0.0,18.479,15.65,0:24:00,1073.917
ADA/USDT,0.890695,$32.51B,$1.30B,Large-Cap,7.23,72.279,-32.53,2,2,0,0,100.0,0.0,16.063,-100.0,-100.0,0.0,36.139,15.29,0:15:00,1072.279
MTL/USDT,0.748941,$64.51M,$9.41M,Micro-Cap,7.2,71.969,-38.69,3,3,0,0,100.0,0.0,0.447,-100.0,-100.0,0.0,23.99,15.22,0:23:00,1071.969
APE/USDT,0.603154,$482.18M,$39.30M,Small-Cap,6.79,67.899,-48.0,3,3,0,0,100.0,0.0,0.654,-100.0,-100.0,0.0,22.633,14.33,0:33:00,1067.899
FIL/USDT,2.52,$1.73B,$156.81M,Mid-Cap,6.5,65.009,-52.25,2,2,0,0,100.0,0.0,2.081,-100.0,-100.0,0.0,32.504,13.7,0:05:00,1065.009
STRK/USDT,0.131955,$538.03M,$24.92M,Small-Cap,6.43,64.25,-73.91,3,3,0,0,100.0,0.0,1.029,-100.0,-100.0,0.0,21.417,13.54,0:40:00,1064.25
VELODROME/USDT,no data,no data,no data,no data,6.42,64.167,-72.95,4,4,0,0,100.0,0.0,0.559,-100.0,-100.0,0.0,16.042,13.52,0:58:00,1064.167
SUSHI/USDT,0.816785,$157.73M,$28.66M,Small-Cap,6.21,62.104,-53.27,2,2,0,0,100.0,0.0,1.241,-100.0,-100.0,0.0,31.052,13.07,0:08:00,1062.104
GALA/USDT,0.01748522,$804.40M,$70.29M,Small-Cap,6.18,61.801,-56.71,4,4,0,0,100.0,0.0,1.376,-100.0,-100.0,0.0,15.45,13.01,0:35:00,1061.801
